index,brand_name,model,price,rating,processor,processor_brand,iter,ram,threads_num,core_num,ram_num,memory_type,memory_size,gpu_brand,gpu_type,os,display_size,resolutioin_height,resolutioin_width,Touch_Screen,warrenty
357,MSI,MSI Creator Z17 HX Studio A14VGT-405IN Creator Laptop (14th Gen Core i7/ 32GB/ 2TB SSD/ Win11/ 8GB Graph),279990,4.2,14th Gen Intel Core i7 14700HX,Intel,Core i7,32 GB DDR5 RAM,28.0,20.0,32,SSD,2000,NVIDIA,Dedicated,Windows 11,17,2560,1600,True,2
358,MSI,MSI Cyborg 14 A13UCX-206IN Gaming Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),56990,4.5,13th Gen Intel Core i5 13420H,Intel,Core i5,8 GB DDR5 RAM,12.0,8.0,8,SSD,512,NVIDIA,Dedicated,Windows 11,14,1920,1200,False,2
359,Asus,Asus Vivobook Go 15 E1504FA-NJ549WS Laptop (Ryzen 5 7520U / 16GB/ 512GB SSD/ Win11 Home),40899,4.4,7th Gen AMD Ryzen 5 7520U,AMD,Ryzen 5,16 GB LPDDR5 RAM,8.0,8.0,16,SSD,512,AMD,Integrated,Windows 11,15.6,1920,1080,False,1
360,MSI,MSI Cyborg 14 A13UCX-204IN Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),67990,4.05,13th Gen Intel Core i7 13620H,Intel,Core i7,16 GB DDR5 RAM,16.0,10.0,16,SSD,512,NVIDIA,Dedicated,Windows 11,14,1920,1200,False,2
361,MSI,MSI Cyborg 14 A13UDX-207IN Gaming Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 6GB Graph),61990,4.15,13th Gen Intel Core i5 13420H,Intel,Core i5,8 GB DDR5 RAM,12.0,8.0,8,SSD,512,NVIDIA,Dedicated,Windows 11,14,1920,1200,False,2
362,Asus,Asus Vivobook Go 15 OLED E1504FAB-LK549WS Laptop (Ryzen 5 7520U / 16GB/ 512GB SSD/ Win11 Home),46990,4.7,7th Gen AMD Ryzen 5 7520U,AMD,Ryzen 5,16 GB LPDDR5 RAM,8.0,8.0,16,SSD,512,AMD,Integrated,Windows 11,15.6,1920,1080,False,1
363,MSI,MSI Modern 14 C12MO-1213IN Laptop (12th Gen Core i3/ 16GB/ 512GB SSD/ Win11 Home),30890,4.05,12th Gen Intel Core i3 1215U,Intel,Core i3,16 GB  RAM,8.0,8.0,16,SSD,512,Intel,Integrated,Windows 11,14,1920,1080,False,1
364,Lenovo,Lenovo Yoga Slim 7x 14Q8X9 83ED003BIN Laptop (Snapdragon X Elite/ 32GB/ 1TB SSD/ Windows 11 Home),139990,4.0,Qualcomm Snapdragon X Elite X1E-78-100,Qualcomm,Snapdragon,32 GB LPDDR5X RAM,,12.0,32,SSD,1000,Qualcomm,Integrated,Windows 11,14.5,2944,1840,True,1
365,Asus,Asus TUF Gaming A15 FA506NF-HN578W Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11 Pro/ 4GB Graph),53990,4.25,7th Gen AMD Ryzen 5 7535HS,AMD,Ryzen 5,8 GB DDR4 RAM,12.0,8.0,8,SSD,512,NVIDIA,Dedicated,Windows 11,15.6,1920,1080,False,1
366,HP,HP Victus 15-fa1278TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB RTX4050),79490,4.3,13th Gen Intel Core i5 13420H,Intel,Core i5,16 GB DDR4 RAM,12.0,8.0,16,SSD,512,NVIDIA,Dedicated,Windows 11,15.6,1920,1080,False,1
367,HP,HP Victus 15-FA1313TX Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ RTX 2050),60990,4.0,12th Gen Intel Core i5 12450H,Intel,Core i5,16 GB DDR4 RAM,12.0,8.0,16,SSD,512,NVIDIA,Dedicated,Windows 11,15.6,1920,1080,False,1
368,Lenovo,Lenovo ThinkBook 16 G6 21KHA081IN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),57990,4.45,13th Gen Intel Core i5 1335U,Intel,Core i5,16 GB DDR5 RAM,12.0,10.0,16,SSD,512,Intel,Integrated,Windows 11,16,1920,1080,False,1
369,Infinix,Infinix INBook Y3 Max YL613 Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win 11),39999,4.35,12th Gen Intel Core i7 1255U,Intel,Core i7,16 GB LPDDR4X RAM,12.0,10.0,16,SSD,512,Intel,Integrated,Windows 11,16,1920,1200,False,1
370,Lenovo,Lenovo ThinkPad E14 21JKS13J00 Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),91990,4.1,13th Gen Intel Core i7 1355U,Intel,Core i7,16 GB DDR4 RAM,12.0,10.0,16,SSD,1000,Intel,Integrated,Windows 11,14,1920,1200,False,1
371,Acer,Acer Aspire 7 A715-79G UN.34NSI.001 Gaming Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),54990,4.6,13th Gen Intel Core i5 13420H,Intel,Core i5,8 GB DDR4 RAM,12.0,8.0,8,SSD,512,NVIDIA,Dedicated,Windows 11,15.6,1920,1080,False,1
372,Acer,Acer Aspire 3 Spin 14 NX.KENSI.004 Laptop (Intel Core i3 N305/ 8GB/ 512GB SSD/ Win11 Pro),41990,4.2,Intel Core i3 N305,Intel,Core i3,8 GB DDR4 RAM,8.0,8.0,8,SSD,512,Intel,Integrated,Windows 11,14,1920,1200,False,1
373,Acer,Acer Aspire 5 NX.KHFSI.007 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),44990,4.5,13th Gen Intel Core i5 1335U,Intel,Core i5,16 GB LPDDR5 RAM,12.0,10.0,16,SSD,512,Intel,Integrated,Windows 11,15.6,1920,1080,False,1
374,Dell,Dell XPS 13 9340 Laptop (Intel Core Ultra 7 155H/ 32GB/ 1TB SSD/ Win11),204990,4.45,Intel Core Ultra 7 Series 1 155H,Intel,Core Ultra 7,32 GB LPDDR5X RAM,22.0,16.0,32,SSD,1000,Intel,Integrated,Windows 11,13.4,2880,1800,True,1
375,Dell,Dell 3530 Inspiron 15 Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home),58790,4.15,13th Gen Intel Core i5 1334U,Intel,Core i5,16 GB DDR4 RAM,12.0,10.0,16,SSD,1000,Intel,Integrated,Windows 11,15.6,1920,1080,False,1
376,Asus,Asus Vivobook S15 OLED S5504VA-MA943WS Laptop (13th Gen Core i9/ 16GB/ 512GB SSD/ Win11),91599,4.75,13th Gen Intel Core i9 13900H,Intel,Core i9,16 GB LPDDR5 RAM,20.0,14.0,16,SSD,512,Intel,Integrated,Windows 11,15.6,2880,1620,False,1
377,MSI,MSI Modern 15 B12MO-1006IN Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),54990,4.1,12th Gen Intel Core i7 1255U,Intel,Core i7,16 GB DDR4 RAM,12.0,10.0,16,SSD,512,Intel,Integrated,Windows 11,15.6,1920,1080,False,1
378,HP,HP 15-fd0129TU Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),42990,4.55,13th Gen Intel Core i3 1315U,Intel,Core i3,8 GB DDR4 RAM,8.0,8.0,8,SSD,512,Intel,Integrated,Windows 11,15.6,1920,1080,False,1
379,MSI,MSI Modern 14 C12MO-1212IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),39990,4.2,12th Gen Intel Core i5 1235U,Intel,Core i5,16 GB  RAM,12.0,10.0,16,SSD,512,Intel,Integrated,Windows 11,14,1920,1080,False,1
380,Lenovo,Lenovo ThinkPad E14 21JKS0X900 Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home),74990,4.3,13th Gen Intel Core i5 1335U,Intel,Core i5,16 GB DDR4 RAM,12.0,10.0,16,SSD,1000,Intel,Integrated,Windows 11,14,1920,1200,False,1
381,Lenovo,Lenovo LOQ 2024 83GS0098IN Gaming Laptop (12th Gen Core i5/ 24GB/ 512GB SSD/ Win11/ 6GB RTX 3050 Graph),72490,4.1,12th Gen Intel Core i5 12450HX,Intel,Core i5,24 GB DDR5 RAM,12.0,8.0,24,SSD,512,NVIDIA,Dedicated,Windows 11,15.6,1920,1080,False,1
382,Lenovo,Lenovo IdeaPad Slim 3 15IAH8 83ER00KPIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),50490,4.7,12th Gen Intel Core i5 12450H,Intel,Core i5,16 GB DDR4 RAM,12.0,8.0,16,SSD,512,Intel,Integrated,Windows 11,15.6,1920,1080,False,1
383,MSI,MSI Prestige 13 AI Plus Evo A2VMG-023IN Laptop (Intel Core Ultra 7 258V/ 32GB/ 1TB SSD/ Win11 Home),126990,4.4,Intel Core Ultra 7 258V,Intel,Core Ultra 7,32 GB LPDDR5X RAM,8.0,8.0,32,SSD,1000,Intel,Integrated,Windows 11,13.3,2880,1800,False,2
384,MSI,MSI Thin 15 B12UC-2240IN Gaming Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 4GB RTX3050 Graph),69500,4.0,12th Gen Intel Core i7 12650H,Intel,Core i7,16 GB DDR4 RAM,16.0,10.0,16,SSD,512,NVIDIA,Dedicated,Windows 11,15.6,1920,1080,False,2
385,Lenovo,Lenovo IdeaPad Slim 3 ‎14IAH8 83EQ0073IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),52170,4.65,12th Gen Intel Core i5 12450H,Intel,Core i5,16 GB LPDDR5 RAM,12.0,8.0,16,SSD,512,Intel,Integrated,Windows 11,14,1920,1080,False,1
386,Dell,Dell Latitude 14 3440 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),55990,4.45,12th Gen Intel Core i5 1235U,Intel,Core i5,8 GB DDR4 RAM,12.0,10.0,8,SSD,512,Intel,Integrated,Windows 11,14,1366,768,False,1
387,Asus,Asus E510KA-EJ001WS Laptop (Intel Celeron N4500/ 4GB/ 256GB SSD/ Win11 Home),24990,4.75,Intel Celeron N4500,Intel,Celeron,4 GB DDR4 RAM,2.0,8.0,4,SSD,256,Intel,Integrated,Windows 11,15.6,1920,1080,False,1
388,Acer,Acer Aspire Lite AL15-53 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),48999,4.35,13th Gen Intel Core i5 1334U,Intel,Core i5,16 GB DDR4 RAM,12.0,10.0,16,SSD,512,Intel,Integrated,Windows 11,15.6,1920,1080,False,1
389,MSI,MSI Thin 15 B12UC-2239IN Gaming Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph),72890,4.35,12th Gen Intel Core i7 12650H,Intel,Core i7,16 GB  RAM,16.0,10.0,16,SSD,1000,NVIDIA,Dedicated,Windows 11,15.6,1920,1080,False,2
390,HP,HP 255 G10 B15J0PT Laptop (AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Dos),32499,4.65,7th Gen AMD Ryzen 5 7520U,AMD,Ryzen 5,8 GB DDR4 RAM,8.0,8.0,8,SSD,512,AMD,Integrated,DOS,15.6,1366,768,False,1
